"Population estimates, quarterly 1 2 3 4"
"Frequency: Quarterly"
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Q3 2025"
,"Persons"
"Canada","41,651,653"
"Newfoundland and Labrador","549,911"
"Prince Edward Island","182,657"
"Nova Scotia","1,093,245"
"New Brunswick","869,682"
"Quebec","9,058,297"
"Ontario","16,258,260"
"Manitoba","1,509,702"
"Saskatchewan","1,266,959"
"Alberta","5,029,346"
"British Columbia","5,697,536"
"Yukon","48,278"
"Northwest Territories 5","45,950"
"Nunavut 5","41,830"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Population estimates: Q1 = January 1; Q2 = April 1; Q3 = July 1; Q4 = October 1."
3,"Estimates are final intercensal and unadjusted for census net undercoverage prior to July 1, 1971. Estimates are final intercensal from July 1, 1971 to April 1, 2021, final postcensal from July 1, 2021 to January 1, 2022, updated postcensal from April 1, 2022 to April 1, 2025 and preliminary postcensal from July 1, 2025."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Table 17100059), international migration (Table 17100040) and interprovincial migration (Tables 17100020 and 17100045)."
5,"Prior to July 1, 1991, only population estimates for Northwest Territories and Nunavut combined are available."



"How to cite: Statistics Canada. Table 17-10-0009-01  Population estimates, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901
