"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2025-01-16"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender"
"Age group 8","All ages"
"Geography","2024"
,"Persons"
"Canada","41,288,599"
"All census metropolitan areas and census agglomerations, Canada","34,958,433"
"All census metropolitan areas, Canada","30,893,239"
"St. John's (CMA), Newfoundland and Labrador","239,316"
"Halifax (CMA), Nova Scotia","530,167"
"Moncton (CMA), New Brunswick","188,036"
"Saint John (CMA), New Brunswick","142,433"
"Fredericton (CMA), New Brunswick","122,500"
"Saguenay (CMA), Quebec","170,380"
"Québec (CMA), Quebec","900,343"
"Sherbrooke (CMA), Quebec","243,517"
"Trois-Rivières (CMA), Quebec","173,288"
"Drummondville (CMA), Quebec","108,291"
"Montréal (CMA), Quebec","4,615,154"
"Ottawa - Gatineau (CMA), Ontario/Quebec","1,660,269"
"Ottawa - Gatineau (CMA), Ontario part, Ontario","1,287,592"
"Ottawa - Gatineau (CMA), Quebec part, Quebec","372,677"
"Kingston (CMA), Ontario","192,389"
"Belleville - Quinte West (CMA), Ontario","123,572"
"Peterborough (CMA), Ontario","148,027"
"Oshawa (CMA), Ontario","482,359"
"Toronto (CMA), Ontario","7,106,379"
"Hamilton (CMA), Ontario","860,266"
"St. Catharines - Niagara (CMA), Ontario","492,480"
"Kitchener - Cambridge - Waterloo (CMA), Ontario","696,417"
"Brantford (CMA), Ontario","173,530"
"Guelph (CMA), Ontario","183,224"
"London (CMA), Ontario","626,260"
"Windsor (CMA), Ontario","483,556"
"Barrie (CMA), Ontario","245,586"
"Greater Sudbury (CMA), Ontario","191,902"
"Thunder Bay (CMA), Ontario","133,063"
"Winnipeg (CMA), Manitoba","941,641"
"Regina (CMA), Saskatchewan","282,032"
"Saskatoon (CMA), Saskatchewan","367,336"
"Lethbridge (CMA), Alberta","139,844"
"Calgary (CMA), Alberta","1,778,881"
"Red Deer (CMA), Alberta","112,759"
"Edmonton (CMA), Alberta","1,631,614"
"Kelowna (CMA), British Columbia","251,756"
"Kamloops (CMA), British Columbia","128,233"
"Chilliwack (CMA), British Columbia","126,850"
"Abbotsford - Mission (CMA), British Columbia","220,786"
"Vancouver (CMA), British Columbia","3,108,941"
"Victoria (CMA), British Columbia","441,491"
"Nanaimo (CMA), British Columbia","128,371"
"All census agglomerations, Canada","4,065,194"
"Grand Falls-Windsor (CA), Newfoundland and Labrador","14,546"
"Gander (CA), Newfoundland and Labrador","14,296"
"Corner Brook (CA), Newfoundland and Labrador","31,204"
"Charlottetown (CA), Prince Edward Island","93,877"
"Summerside (CA), Prince Edward Island","20,389"
"Kentville (CA), Nova Scotia","29,341"
"Truro (CA), Nova Scotia","50,355"
"New Glasgow (CA), Nova Scotia","36,316"
"Cape Breton (CA), Nova Scotia","112,699"
"Bathurst (CA), New Brunswick","33,366"
"Miramichi (CA), New Brunswick","30,098"
"Edmundston (CA), New Brunswick","24,275"
"Campbellton (CA), New Brunswick/Quebec","15,410"
"Campbellton (CA), New Brunswick part, New Brunswick","12,435"
"Campbellton (CA), Quebec part, Quebec","2,975"
"Matane (CA), Quebec","18,793"
"Rimouski (CA), Quebec","56,976"
"Rivière-du-Loup (CA), Quebec","30,967"
"Baie-Comeau (CA), Quebec","26,556"
"Alma (CA), Quebec","30,901"
"Dolbeau-Mistassini (CA), Quebec","15,297"
"Sept-Îles (CA), Quebec","27,959"
"Sainte-Marie (CA), Quebec","13,918"
"Saint-Georges (CA), Quebec","36,116"
"Thetford Mines (CA), Quebec","29,328"
