"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2025-01-16"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,
"Age group 8","All ages",,,,,,,
"Geography","2017","2018","2019","2020","2021","2022","2023","2024"
,"Persons",,,,,,,
"Canada","36,545,075","37,072,620","37,618,495","38,028,638","38,239,864","38,935,934","40,083,484","41,288,599"
"All census metropolitan areas and census agglomerations, Canada","30,578,473","31,068,031","31,574,160","31,942,223","32,089,899","32,719,165","33,808,095","34,958,433"
"All census metropolitan areas, Canada","26,842,398","27,297,406","27,768,376","28,108,222","28,222,191","28,799,298","29,817,900","30,893,239"
"St. John's (CMA), Newfoundland and Labrador","215,534","216,404","217,821","219,282","220,052","224,712","232,699","239,316"
"Halifax (CMA), Nova Scotia","445,326","453,010","462,737","473,565","482,144","498,943","517,981","530,167"
"Moncton (CMA), New Brunswick","150,156","152,020","155,078","158,135","161,376","168,581","178,599","188,036"
"Saint John (CMA), New Brunswick","129,658","130,432","131,349","132,226","133,140","135,557","139,095","142,433"
"Fredericton (CMA), New Brunswick","106,393","107,592","109,092","110,168","111,017","114,495","118,800","122,500"
"Saguenay (CMA), Quebec","161,824","161,787","161,894","162,285","162,376","164,255","166,854","170,380"
"Québec (CMA), Quebec","817,163","824,428","832,966","840,396","844,774","858,197","878,116","900,343"
"Sherbrooke (CMA), Quebec","215,730","218,818","222,318","225,902","229,294","233,356","238,020","243,517"
"Trois-Rivières (CMA), Quebec","157,615","158,164","159,395","161,361","162,531","165,731","168,621","173,288"
"Drummondville (CMA), Quebec","98,582","99,326","100,012","100,909","102,356","103,854","106,079","108,291"
"Montréal (CMA), Quebec","4,193,413","4,261,700","4,327,976","4,356,853","4,330,143","4,374,055","4,483,155","4,615,154"
"Ottawa - Gatineau (CMA), Ontario/Quebec","1,437,124","1,466,353","1,496,791","1,524,974","1,540,340","1,568,019","1,609,969","1,660,269"
"Ottawa - Gatineau (CMA), Ontario part, Ontario","1,098,582","1,123,368","1,148,411","1,172,078","1,184,369","1,208,978","1,245,863","1,287,592"
"Ottawa - Gatineau (CMA), Quebec part, Quebec","338,542","342,985","348,380","352,896","355,971","359,041","364,106","372,677"
"Kingston (CMA), Ontario","169,997","173,635","176,279","178,343","179,707","184,063","188,247","192,389"
"Belleville - Quinte West (CMA), Ontario","108,194","110,180","112,064","114,220","115,493","118,469","120,939","123,572"
"Peterborough (CMA), Ontario","127,603","130,707","131,798","132,672","133,661","136,963","141,476","148,027"
"Oshawa (CMA), Ontario","398,669","405,381","414,074","424,237","433,529","447,764","464,089","482,359"
"Toronto (CMA), Ontario","6,202,798","6,313,488","6,426,293","6,491,939","6,472,951","6,582,012","6,837,468","7,106,379"
"Hamilton (CMA), Ontario","779,719","788,294","799,626","811,706","817,777","827,398","843,112","860,266"
"St. Catharines - Niagara (CMA), Ontario","425,266","432,564","439,996","445,110","450,926","462,037","477,601","492,480"
"Kitchener - Cambridge - Waterloo (CMA), Ontario","553,879","568,467","582,884","595,366","602,303","626,735","662,921","696,417"
"Brantford (CMA), Ontario","146,115","148,290","150,939","153,544","156,714","161,442","167,212","173,530"
"Guelph (CMA), Ontario","160,702","163,979","167,234","170,486","172,876","176,492","179,960","183,224"
"London (CMA), Ontario","523,022","537,014","548,743","559,067","567,539","585,834","606,986","626,260"
"Windsor (CMA), Ontario","416,871","426,477","433,979","438,328","439,473","452,394","468,529","483,556"
"Barrie (CMA), Ontario","206,896","210,089","214,431","218,493","222,065","230,022","237,923","245,586"
"Greater Sudbury (CMA), Ontario","171,705","174,100","175,351","176,580","177,415","180,100","185,005","191,902"
"Thunder Bay (CMA), Ontario","126,189","127,270","128,291","128,815","128,040","128,931","131,031","133,063"
"Winnipeg (CMA), Manitoba","821,697","835,049","847,015","852,805","860,237","875,837","910,729","941,641"
"Regina (CMA), Saskatchewan","249,788","253,503","256,646","257,598","257,368","260,515","271,516","282,032"
"Saskatoon (CMA), Saskatchewan","313,434","318,625","323,519","327,547","328,256","335,938","352,436","367,336"
"Lethbridge (CMA), Alberta","121,990","123,955","125,885","127,455","128,503","130,751","134,714","139,844"
"Calgary (CMA), Alberta","1,453,860","1,475,716","1,503,295","1,528,262","1,540,242","1,586,947","1,678,702","1,778,881"
"Red Deer (CMA), Alberta","102,941","103,732","104,315","104,477","104,429","105,654","108,917","112,759"
"Edmonton (CMA), Alberta","1,388,606","1,412,415","1,438,636","1,461,697","1,472,402","1,499,878","1,559,106","1,631,614"
"Kelowna (CMA), British Columbia","208,874","214,927","220,517","226,205","232,150","239,748","246,766","251,756"
"Kamloops (CMA), British Columbia","111,084","114,862","116,906","118,389","119,049","122,117","125,546","128,233"
"Chilliwack (CMA), British Columbia","108,739","112,035","114,073","116,401","118,634","121,565","123,953","126,850"
"Abbotsford - Mission (CMA), British Columbia","193,234","197,517","201,792","203,004","204,670","207,369","214,099","220,786"
"Vancouver (CMA), British Columbia","2,619,630","2,663,557","2,715,494","2,750,966","2,771,430","2,853,203","2,981,253","3,108,941"
"Victoria (CMA), British Columbia","390,727","397,109","403,868","409,898","414,596","426,397","434,085","441,491"
"Nanaimo (CMA), British Columbia","111,651","114,435","117,004","118,556","120,213","122,968","125,591","128,371"
"All census agglomerations, Canada","3,736,075","3,770,625","3,805,784","3,834,001","3,867,708","3,919,867","3,990,195","4,065,194"
"Grand Falls-Windsor (CA), Newfoundland and Labrador","14,286","14,263","14,204","14,225","14,294","14,362","14,470","14,546"
"Gander (CA), Newfoundland and Labrador","13,580","13,673","13,628","13,677","13,817","13,849","14,112","14,296"
"Corner Brook (CA), Newfoundland and Labrador","31,339","31,152","31,096","30,821","30,827","30,973","31,017","31,204"
"Charlottetown (CA), Prince Edward Island","76,453","78,003","80,008","81,853","83,104","86,412","90,528","93,877"
"Summerside (CA), Prince Edward Island","17,350","17,795","18,248","18,568","19,051","19,314","19,978","20,389"
"Kentville (CA), Nova Scotia","26,688","26,973","27,119","27,338","27,776","28,329","28,823","29,341"
"Truro (CA), Nova Scotia","46,590","46,828","47,194","47,616","48,077","48,785","49,635","50,355"
"New Glasgow (CA), Nova Scotia","34,932","34,866","34,920","35,066","35,345","35,745","36,132","36,316"
"Cape Breton (CA), Nova Scotia","100,281","100,756","102,560","102,356","100,754","103,110","109,271","112,699"
"Bathurst (CA), New Brunswick","31,619","31,598","31,720","31,799","31,876","32,184","32,636","33,366"
"Miramichi (CA), New Brunswick","27,872","27,785","27,827","27,870","28,085","28,624","29,310","30,098"
"Edmundston (CA), New Brunswick","22,361","22,370","22,364","22,385","22,514","22,655","23,304","24,275"
"Campbellton (CA), New Brunswick/Quebec","15,029","15,020","15,037","15,047","15,206","15,084","15,183","15,410"
"Campbellton (CA), New Brunswick part, New Brunswick","12,185","12,137","12,113","12,134","12,204","12,122","12,194","12,435"
"Campbellton (CA), Quebec part, Quebec","2,844","2,883","2,924","2,913","3,002","2,962","2,989","2,975"
"Matane (CA), Quebec","18,757","18,653","18,518","18,528","18,494","18,761","18,847","18,793"
"Rimouski (CA), Quebec","53,654","53,694","53,924","54,025","54,209","54,639","55,403","56,976"
