"Population estimates, quarterly 1 2 3 4"
"Frequency: Quarterly"
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
,"Persons",,,,,,,,,,,,,,,,,,
"Canada","38,058,291","38,140,918","38,239,864","38,460,257","38,565,380","38,693,009","38,950,132","39,284,491","39,501,329","39,727,297","40,049,088","40,467,722","40,724,526","40,990,297","41,262,329","41,494,132","41,574,517","41,604,555","41,651,653"
"Newfoundland and Labrador","525,895","526,195","527,056","528,342","529,008","529,054","531,257","533,194","535,147","536,635","538,789","541,126","542,449","544,318","546,869","548,402","548,842","549,456","549,911"
"Prince Edward Island","159,240","160,334","162,133","163,580","164,058","165,396","167,200","168,939","169,942","171,736","173,734","176,173","176,757","178,022","179,709","180,877","180,686","181,289","182,657"
"Nova Scotia","990,025","993,946","999,908","1,006,562","1,009,355","1,013,351","1,024,034","1,033,146","1,036,868","1,043,723","1,053,005","1,062,825","1,067,878","1,074,020","1,082,769","1,088,273","1,089,187","1,091,037","1,093,245"
"New Brunswick","784,950","787,002","790,802","795,691","798,414","801,319","808,869","816,420","819,414","824,150","831,103","840,130","844,859","850,930","858,293","863,841","865,945","867,014","869,682"
"Quebec","8,550,561","8,556,015","8,572,020","8,604,508","8,613,282","8,628,480","8,669,963","8,718,914","8,742,975","8,772,140","8,821,696","8,882,501","8,909,038","8,945,468","8,995,474","9,038,268","9,043,463","9,041,123","9,058,297"
"Ontario","14,772,726","14,808,093","14,842,488","14,947,417","14,997,903","15,051,975","15,155,836","15,305,369","15,407,970","15,495,050","15,632,481","15,823,956","15,946,146","16,046,534","16,144,797","16,228,152","16,255,550","16,256,538","16,258,260"
"Manitoba","1,383,854","1,388,611","1,391,924","1,396,656","1,400,367","1,404,837","1,413,498","1,424,475","1,433,655","1,444,049","1,453,202","1,462,439","1,472,261","1,483,553","1,492,144","1,500,464","1,505,644","1,508,031","1,509,702"
"Saskatchewan","1,166,348","1,167,711","1,167,711","1,168,934","1,171,063","1,173,461","1,178,796","1,188,295","1,195,840","1,201,624","1,210,257","1,222,152","1,230,316","1,238,591","1,247,868","1,256,983","1,261,524","1,264,537","1,266,959"
"Alberta","4,418,338","4,425,617","4,431,531","4,451,129","4,466,136","4,482,503","4,512,731","4,560,275","4,596,901","4,641,615","4,688,576","4,752,173","4,801,806","4,857,695","4,909,030","4,957,075","4,988,181","5,010,078","5,029,346"
"British Columbia","5,180,015","5,200,393","5,226,665","5,269,491","5,287,664","5,313,881","5,358,845","5,406,059","5,432,939","5,466,566","5,515,296","5,572,694","5,601,024","5,638,043","5,671,114","5,696,852","5,699,989","5,699,690","5,697,536"
"Yukon","42,157","42,443","42,961","43,129","43,046","43,400","43,869","44,169","44,478","44,823","45,419","45,898","46,286","46,965","47,595","47,939","48,176","48,089","48,278"
"Northwest Territories 5","44,432","44,679","44,579","44,573","44,741","44,773","44,631","44,559","44,403","44,402","44,614","44,566","44,655","45,021","45,257","45,520","45,679","45,875","45,950"
"Nunavut 5","39,750","39,879","40,086","40,245","40,343","40,579","40,603","40,677","40,797","40,784","40,916","41,089","41,051","41,137","41,410","41,486","41,651","41,798","41,830"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Population estimates: Q1 = January 1; Q2 = April 1; Q3 = July 1; Q4 = October 1."
3,"Estimates are final intercensal and unadjusted for census net undercoverage prior to July 1, 1971. Estimates are final intercensal from July 1, 1971 to April 1, 2021, final postcensal from July 1, 2021 to January 1, 2022, updated postcensal from April 1, 2022 to April 1, 2025 and preliminary postcensal from July 1, 2025."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Table 17100059), international migration (Table 17100040) and interprovincial migration (Tables 17100020 and 17100045)."
5,"Prior to July 1, 1991, only population estimates for Northwest Territories and Nunavut combined are available."



"How to cite: Statistics Canada. Table 17-10-0009-01  Population estimates, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901
